iter	RMSE
0	10.87660104
1	10.57287778
2	10.28885762
3	10.02855864
4	9.759637772
5	9.510378236
6	9.24292852
7	9.010367235
8	8.762493048
9	8.54903933
10	8.346759748
11	8.122371475
12	7.908368209
13	7.702847016
14	7.530790923
15	7.342341525
16	7.174995522
17	7.001664874
18	6.823162658
19	6.679714423
20	6.537814404
21	6.399603345
22	6.269892486
23	6.139738449
24	6.020691009
25	5.891846852
26	5.801335839
27	5.698797695
28	5.596428373
29	5.493309387
30	5.407308204
31	5.310833036
32	5.227199737
33	5.146694542
34	5.073281245
35	4.989306104
36	4.907878327
37	4.836039107
38	4.768916683
39	4.697979927
40	4.635164485
41	4.568628546
42	4.516459113
43	4.456788766
44	4.410497021
45	4.35047395
46	4.298630688
47	4.244142494
48	4.196928338
49	4.150578864
50	4.105123702
51	4.068373436
52	4.033245884
53	4.000368405
54	3.95932533
55	3.92496734
56	3.889917457
57	3.857625483
58	3.824181631
59	3.79501759
60	3.764735374
61	3.738851148
62	3.716843263
63	3.689799949
64	3.664665135
65	3.643377004
66	3.615763292
67	3.595252592
68	3.572940567
69	3.550392688
70	3.53188971
71	3.510567283
72	3.485418775
73	3.46392213
74	3.44524825
75	3.426231166
76	3.406498761
77	3.395239648
78	3.37835091
79	3.365230433
80	3.349381304
81	3.332119095
82	3.31930915
83	3.298492323
84	3.281197609
85	3.269645904
86	3.260668385
87	3.245518562
88	3.225144771
89	3.214051833
90	3.202698277
91	3.192479151
92	3.178432595
93	3.166763914
94	3.157358314
95	3.144357302
96	3.133067013
97	3.123282314
98	3.114370251
99	3.101894863
100	3.090873484
101	3.082177176
102	3.071871877
103	3.057295244
104	3.045519841
105	3.036441018
106	3.028632976
107	3.020857761
108	3.014229199
109	3.007299083
110	2.995565858
111	2.988919631
112	2.978553316
113	2.967072163
114	2.953376664
115	2.944590206
116	2.935132439
117	2.925712617
118	2.914735294
119	2.908208166
120	2.899428269
121	2.895103674
122	2.884255397
123	2.876561849
124	2.866566116
125	2.856772422
126	2.847938853
127	2.839377261
128	2.829854519
129	2.82897141
130	2.823618486
131	2.817043754
132	2.809927536
133	2.801614041
134	2.790887709
135	2.785662809
136	2.779209727
137	2.772731838
138	2.767747455
139	2.761168934
140	2.755140741
141	2.749710442
142	2.740734308
143	2.740141883
144	2.73388733
145	2.730020152
146	2.725410577
147	2.716835821
148	2.710698597
149	2.701160114
150	2.694881875
151	2.690822372
152	2.679854291
153	2.672176962
154	2.666531621
155	2.66061353
156	2.655354654
157	2.645437569
158	2.639785477
159	2.633919751
160	2.628728002
161	2.62329629
162	2.614888169
163	2.609199069
164	2.603096343
165	2.593560347
166	2.587751519
167	2.581485455
168	2.57040905
169	2.563394545
170	2.558418809
171	2.553830331
172	2.547570295
173	2.540930882
174	2.535397275
175	2.531133989
176	2.52193961
177	2.513188151
178	2.5079388
179	2.502761565
180	2.497622765
181	2.488578374
182	2.483315536
183	2.479217083
184	2.475072766
185	2.470435187
186	2.464241167
187	2.458981617
188	2.452810654
189	2.448117528
190	2.442718354
191	2.439838288
192	2.432602449
193	2.426106689
194	2.419459968
195	2.417797869
196	2.413079711
197	2.407633881
198	2.402146953
199	2.397616793
200	2.385718733
201	2.378018953
202	2.368900699
203	2.365457281
204	2.360406308
205	2.355290849
206	2.348702217
207	2.344685194
208	2.340851031
209	2.337331454
210	2.334527171
211	2.329082586
212	2.324205924
213	2.321397379
214	2.319298552
215	2.314016182
216	2.306256155
217	2.30300949
218	2.298373112
219	2.295821678
220	2.291001626
221	2.286393361
222	2.280976112
223	2.277449257
224	2.274958023
225	2.273159052
226	2.270135733
227	2.265055201
228	2.261506402
229	2.256087603
230	2.253976554
231	2.243257482
232	2.240530974
233	2.236953081
234	2.232900754
235	2.230469951
236	2.222059198
237	2.219765445
238	2.211534608
239	2.209992668
240	2.204095025
241	2.19305609
242	2.190458354
243	2.18825975
244	2.182720744
245	2.180323157
246	2.177425606
247	2.171128678
248	2.168248565
249	2.163195837
250	2.161536999
251	2.159704541
252	2.156189554
253	2.147539192
254	2.146255249
255	2.139743033
256	2.138337452
257	2.130357549
258	2.120754353
259	2.116456251
260	2.113195225
261	2.109516191
262	2.103193908
263	2.093594838
264	2.085335732
265	2.08318479
266	2.076626875
267	2.072120163
268	2.064812887
269	2.060440027
270	2.053669419
271	2.051920994
272	2.049585302
273	2.047822252
274	2.046333754
275	2.039925137
276	2.038361323
277	2.036326781
278	2.027727813
279	2.022198282
280	2.018730618
281	2.012278913
282	2.004987823
283	2.003669341
284	1.997616644
285	1.995874964
286	1.988512553
287	1.982853128
288	1.976368956
289	1.967877788
290	1.96476217
291	1.956716416
292	1.949102239
293	1.947423492
294	1.945202826
295	1.939169756
296	1.93165553
297	1.927667563
298	1.92543118
299	1.918263216
300	1.915144054
301	1.914120574
302	1.913083331
303	1.907735147
304	1.900474077
305	1.895657531
306	1.894276761
307	1.892394196
308	1.885761329
309	1.879716099
310	1.875548235
311	1.871019324
312	1.865936921
313	1.865027407
314	1.860979362
315	1.855398874
316	1.849432148
317	1.847100931
318	1.840336278
319	1.837137496
320	1.831087144
321	1.827351921
322	1.821552844
323	1.816062347
324	1.810564412
325	1.80780238
326	1.806329296
327	1.800202409
328	1.792556886
329	1.790083335
330	1.78664034
331	1.780845701
332	1.776543922
333	1.775017123
334	1.772774966
335	1.766124656
336	1.761767707
337	1.755838151
338	1.751979577
339	1.751358183
340	1.750179405
341	1.74460001
342	1.743377705
343	1.740246606
344	1.738632753
345	1.733189072
346	1.728104353
347	1.722260483
348	1.718564887
349	1.714082429
350	1.709148129
351	1.70734184
352	1.706753581
353	1.700583318
354	1.69973991
355	1.696280152
356	1.693695156
357	1.688674159
358	1.684611689
359	1.681236727
360	1.675929328
361	1.670919899
362	1.665792522
363	1.660858032
364	1.659353636
365	1.658109577
366	1.656459055
367	1.654520616
368	1.65217553
369	1.64886287
370	1.643179449
371	1.637763013
372	1.633765121
373	1.631746335
374	1.63063505
375	1.627092096
376	1.621969507
377	1.619575778
378	1.614860436
379	1.61334125
380	1.60769707
381	1.606234392
382	1.604861189
383	1.602310386
384	1.600725358
385	1.59936531
386	1.598473045
387	1.593032684
388	1.590716168
389	1.589281224
390	1.58371525
391	1.582163227
392	1.57805314
393	1.575441494
394	1.574091305
395	1.570220078
396	1.565124782
397	1.561621849
398	1.558946635
399	1.553823793
400	1.549579534
401	1.547705214
402	1.543162231
403	1.538638096
404	1.537355444
405	1.533549989
406	1.530547669
407	1.525378376
408	1.523446485
409	1.521109566
410	1.51844373
411	1.517011179
412	1.513438546
413	1.512324523
414	1.508154353
415	1.504615362
416	1.503073289
417	1.499570158
418	1.498390525
419	1.497554515
420	1.493121486
421	1.488233525
422	1.484497409
423	1.480962163
424	1.477560111
425	1.475008211
426	1.472483769
427	1.468790322
428	1.466000671
429	1.46359353
430	1.459628013
431	1.457620145
432	1.455389339
433	1.452105106
434	1.451360011
435	1.446794844
436	1.444521967
437	1.440566345
438	1.439565464
439	1.436173185
440	1.432051673
441	1.428747725
442	1.424348775
443	1.423413947
444	1.422462966
445	1.418116031
446	1.417004457
447	1.41315633
448	1.411834265
449	1.407749323
450	1.405290284
451	1.401653985
452	1.400630631
453	1.399036477
454	1.398200252
455	1.397317307
456	1.394115569
457	1.393646162
458	1.390280707
459	1.386549521
460	1.385022099
461	1.381318776
462	1.377589544
463	1.373670654
464	1.371258026
465	1.367633771
466	1.365100063
467	1.364104266
468	1.363492107
469	1.360208437
