gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,pass_math,pass_reading,pass_writing,pass_overall,average_score,Grade,Result
female,group B,bachelor's degree,standard,none,72,72,74,218,True,True,True,True,72.66666666666667,C,Pass
male,group C,some college,standard,none,76,78,75,229,True,True,True,True,76.33333333333333,C,Pass
female,group B,associate's degree,standard,none,71,83,78,232,True,True,True,True,77.33333333333333,C,Pass
female,group B,high school,standard,none,65,81,73,219,True,True,True,True,73.0,C,Pass
male,group A,some college,standard,completed,78,72,70,220,True,True,True,True,73.33333333333333,C,Pass
female,group C,some high school,standard,none,69,75,78,222,True,True,True,True,74.0,C,Pass
female,group B,some college,free/reduced,completed,65,75,70,210,True,True,True,True,70.0,C,Pass
female,group C,some high school,standard,none,69,73,73,215,True,True,True,True,71.66666666666667,C,Pass
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,True,True,True,True,75.0,C,Pass
male,group A,master's degree,free/reduced,none,73,74,72,219,True,True,True,True,73.0,C,Pass
female,group C,bachelor's degree,standard,none,67,69,75,211,True,True,True,True,70.33333333333333,C,Pass
female,group D,some college,standard,none,69,74,74,217,True,True,True,True,72.33333333333333,C,Pass
female,group D,associate's degree,standard,none,74,81,83,238,True,True,True,True,79.33333333333333,C,Pass
female,group C,high school,standard,none,66,71,76,213,True,True,True,True,71.0,C,Pass
male,group E,associate's degree,free/reduced,completed,77,69,68,214,True,True,True,True,71.33333333333333,C,Pass
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,True,True,True,True,75.0,C,Pass
female,group C,associate's degree,standard,none,69,80,71,220,True,True,True,True,73.33333333333333,C,Pass
male,group A,bachelor's degree,standard,completed,80,78,81,239,True,True,True,True,79.66666666666667,C,Pass
female,group C,some college,standard,none,73,80,82,235,True,True,True,True,78.33333333333333,C,Pass
female,group D,associate's degree,standard,none,71,71,74,216,True,True,True,True,72.0,C,Pass
female,group C,bachelor's degree,standard,none,65,72,74,211,True,True,True,True,70.33333333333333,C,Pass
male,group C,high school,standard,none,71,79,71,221,True,True,True,True,73.66666666666667,C,Pass
male,group B,some college,standard,none,79,67,67,213,True,True,True,True,71.0,C,Pass
male,group D,bachelor's degree,standard,completed,68,74,74,216,True,True,True,True,72.0,C,Pass
male,group C,high school,standard,none,84,77,74,235,True,True,True,True,78.33333333333333,C,Pass
female,group D,bachelor's degree,standard,none,78,82,79,239,True,True,True,True,79.66666666666667,C,Pass
male,group E,some college,standard,none,83,80,73,236,True,True,True,True,78.66666666666667,C,Pass
male,group D,some college,standard,completed,65,77,74,216,True,True,True,True,72.0,C,Pass
male,group D,master's degree,standard,none,82,82,74,238,True,True,True,True,79.33333333333333,C,Pass
male,group E,some college,free/reduced,completed,87,74,70,231,True,True,True,True,77.0,C,Pass
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,True,True,True,True,76.0,C,Pass
female,group D,some high school,standard,none,76,72,71,219,True,True,True,True,73.0,C,Pass
male,group D,some college,standard,none,88,73,78,239,True,True,True,True,79.66666666666667,C,Pass
female,group D,bachelor's degree,standard,completed,68,75,81,224,True,True,True,True,74.66666666666667,C,Pass
male,group A,bachelor's degree,standard,none,77,67,68,212,True,True,True,True,70.66666666666667,C,Pass
female,group E,high school,free/reduced,completed,66,74,78,218,True,True,True,True,72.66666666666667,C,Pass
male,group B,associate's degree,free/reduced,completed,82,78,74,234,True,True,True,True,78.0,C,Pass
female,group B,master's degree,free/reduced,completed,58,76,78,212,False,True,True,False,70.66666666666667,C,Pass
female,group B,high school,standard,completed,68,83,78,229,True,True,True,True,76.33333333333333,C,Pass
female,group C,some college,free/reduced,completed,67,75,70,212,True,True,True,True,70.66666666666667,C,Pass
male,group A,high school,standard,completed,72,73,74,219,True,True,True,True,73.0,C,Pass
female,group C,associate's degree,standard,completed,71,77,77,225,True,True,True,True,75.0,C,Pass
male,group E,high school,standard,none,80,76,65,221,True,True,True,True,73.66666666666667,C,Pass
male,group D,some college,standard,completed,76,83,79,238,True,True,True,True,79.33333333333333,C,Pass
female,group C,master's degree,standard,completed,69,84,85,238,True,True,True,True,79.33333333333333,C,Pass
female,group B,bachelor's degree,free/reduced,none,78,79,76,233,True,True,True,True,77.66666666666667,C,Pass
female,group C,associate's degree,standard,completed,67,84,86,237,True,True,True,True,79.0,C,Pass
female,group D,some college,free/reduced,none,65,81,77,223,True,True,True,True,74.33333333333333,C,Pass
male,group C,associate's degree,standard,none,69,77,69,215,True,True,True,True,71.66666666666667,C,Pass
male,group D,some high school,standard,completed,74,71,78,223,True,True,True,True,74.33333333333333,C,Pass
male,group E,high school,standard,completed,81,80,76,237,True,True,True,True,79.0,C,Pass
female,group B,some college,free/reduced,none,74,81,76,231,True,True,True,True,77.0,C,Pass
male,group D,some high school,free/reduced,completed,80,79,79,238,True,True,True,True,79.33333333333333,C,Pass
male,group B,high school,free/reduced,none,66,77,70,213,True,True,True,True,71.0,C,Pass
female,group C,some college,standard,none,72,72,71,215,True,True,True,True,71.66666666666667,C,Pass
female,group B,bachelor's degree,standard,none,67,86,83,236,True,True,True,True,78.66666666666667,C,Pass
male,group D,associate's degree,standard,none,80,75,77,232,True,True,True,True,77.33333333333333,C,Pass
male,group D,some high school,standard,none,75,74,69,218,True,True,True,True,72.66666666666667,C,Pass
male,group C,associate's degree,standard,none,85,76,71,232,True,True,True,True,77.33333333333333,C,Pass
male,group E,associate's degree,standard,none,89,76,74,239,True,True,True,True,79.66666666666667,C,Pass
female,group D,some college,free/reduced,none,71,83,83,237,True,True,True,True,79.0,C,Pass
male,group D,master's degree,standard,none,80,80,72,232,True,True,True,True,77.33333333333333,C,Pass
male,group C,associate's degree,standard,completed,78,77,77,232,True,True,True,True,77.33333333333333,C,Pass
female,group B,some college,standard,none,70,75,78,223,True,True,True,True,74.33333333333333,C,Pass
female,group C,master's degree,free/reduced,completed,65,81,81,227,True,True,True,True,75.66666666666667,C,Pass
female,group C,some high school,free/reduced,completed,64,79,77,220,True,True,True,True,73.33333333333333,C,Pass
male,group C,some college,standard,completed,79,79,78,236,True,True,True,True,78.66666666666667,C,Pass
male,group D,high school,standard,none,76,73,68,217,True,True,True,True,72.33333333333333,C,Pass
female,group C,bachelor's degree,standard,none,63,75,81,219,True,True,True,True,73.0,C,Pass
female,group D,high school,standard,none,69,72,77,218,True,True,True,True,72.66666666666667,C,Pass
female,group E,some college,free/reduced,none,71,76,70,217,True,True,True,True,72.33333333333333,C,Pass
male,group C,bachelor's degree,standard,none,83,78,73,234,True,True,True,True,78.0,C,Pass
female,group C,some high school,free/reduced,none,65,86,80,231,True,True,True,True,77.0,C,Pass
female,group D,bachelor's degree,free/reduced,none,73,79,84,236,True,True,True,True,78.66666666666667,C,Pass
female,group D,some college,free/reduced,completed,70,78,78,226,True,True,True,True,75.33333333333333,C,Pass
female,group B,some high school,standard,none,67,89,82,238,True,True,True,True,79.33333333333333,C,Pass
male,group B,bachelor's degree,free/reduced,none,88,75,76,239,True,True,True,True,79.66666666666667,C,Pass
male,group E,some high school,standard,completed,77,76,77,230,True,True,True,True,76.66666666666667,C,Pass
male,group C,associate's degree,standard,none,76,70,68,214,True,True,True,True,71.33333333333333,C,Pass
