gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,pass_math,pass_reading,pass_writing,pass_overall,average_score,Grade,Result
male,group D,high school,free/reduced,completed,64,64,67,195,True,True,True,True,65.0,D,Pass
male,group D,high school,standard,none,66,69,63,198,True,True,True,True,66.0,D,Pass
male,group C,high school,standard,none,70,70,65,205,True,True,True,True,68.33333333333333,D,Pass
female,group D,master's degree,standard,none,62,70,75,207,True,True,True,True,69.0,D,Pass
female,group B,some college,standard,none,63,65,61,189,True,True,True,True,63.0,D,Pass
female,group E,master's degree,free/reduced,none,56,72,65,193,False,True,True,False,64.33333333333333,D,Pass
female,group C,associate's degree,standard,none,58,73,68,199,False,True,True,False,66.33333333333333,D,Pass
male,group B,some college,free/reduced,completed,59,65,66,190,False,True,True,False,63.333333333333336,D,Pass
female,group A,associate's degree,standard,completed,55,65,62,182,False,True,True,False,60.666666666666664,D,Pass
female,group D,associate's degree,free/reduced,completed,57,74,76,207,False,True,True,False,69.0,D,Pass
male,group B,some high school,standard,none,67,64,61,192,True,True,True,True,64.0,D,Pass
female,group C,some college,standard,none,60,72,74,206,True,True,True,True,68.66666666666667,D,Pass
female,group D,some college,free/reduced,completed,58,63,73,194,False,True,True,False,64.66666666666667,D,Pass
male,group D,some college,standard,completed,63,55,63,181,True,False,True,False,60.333333333333336,D,Pass
female,group D,some high school,standard,completed,61,74,72,207,True,True,True,True,69.0,D,Pass
female,group E,master's degree,standard,none,62,68,68,198,True,True,True,True,66.0,D,Pass
male,group E,associate's degree,standard,none,72,64,63,199,True,True,True,True,66.33333333333333,D,Pass
female,group A,some college,standard,none,58,70,67,195,False,True,True,False,65.0,D,Pass
male,group B,some high school,standard,completed,65,66,62,193,True,True,True,True,64.33333333333333,D,Pass
female,group E,some college,standard,completed,63,72,70,205,True,True,True,True,68.33333333333333,D,Pass
female,group D,some college,free/reduced,none,58,67,62,187,False,True,True,False,62.333333333333336,D,Pass
female,group D,bachelor's degree,standard,none,65,67,62,194,True,True,True,True,64.66666666666667,D,Pass
female,group C,some college,standard,none,58,67,72,197,False,True,True,False,65.66666666666667,D,Pass
male,group E,associate's degree,standard,completed,66,63,64,193,True,True,True,True,64.33333333333333,D,Pass
female,group B,associate's degree,free/reduced,none,52,76,70,198,False,True,True,False,66.0,D,Pass
female,group B,some high school,standard,none,70,64,72,206,True,True,True,True,68.66666666666667,D,Pass
female,group C,some college,standard,none,55,69,65,189,False,True,True,False,63.0,D,Pass
male,group B,some high school,standard,none,72,68,67,207,True,True,True,True,69.0,D,Pass
male,group E,high school,standard,none,70,55,56,181,True,False,False,False,60.333333333333336,D,Pass
female,group C,associate's degree,standard,none,59,66,67,192,False,True,True,False,64.0,D,Pass
male,group D,some college,standard,completed,71,61,69,201,True,True,True,True,67.0,D,Pass
female,group C,some college,free/reduced,none,59,62,64,185,False,True,True,False,61.666666666666664,D,Pass
male,group C,associate's degree,free/reduced,none,73,68,66,207,True,True,True,True,69.0,D,Pass
male,group A,some high school,standard,completed,62,67,69,198,True,True,True,True,66.0,D,Pass
female,group B,associate's degree,standard,completed,59,70,66,195,False,True,True,False,65.0,D,Pass
male,group D,some high school,standard,none,62,67,61,190,True,True,True,True,63.333333333333336,D,Pass
male,group B,some college,free/reduced,none,60,60,60,180,True,True,True,True,60.0,D,Pass
male,group D,associate's degree,free/reduced,none,66,62,64,192,True,True,True,True,64.0,D,Pass
female,group C,associate's degree,standard,none,63,67,70,200,True,True,True,True,66.66666666666667,D,Pass
female,group B,master's degree,free/reduced,completed,52,70,62,184,False,True,True,False,61.333333333333336,D,Pass
male,group C,master's degree,free/reduced,completed,62,68,75,205,True,True,True,True,68.33333333333333,D,Pass
female,group D,associate's degree,standard,none,65,69,70,204,True,True,True,True,68.0,D,Pass
male,group C,associate's degree,free/reduced,completed,65,67,65,197,True,True,True,True,65.66666666666667,D,Pass
male,group D,some high school,standard,completed,62,66,68,196,True,True,True,True,65.33333333333333,D,Pass
female,group E,associate's degree,standard,none,66,65,69,200,True,True,True,True,66.66666666666667,D,Pass
female,group B,some high school,standard,none,62,64,66,192,True,True,True,True,64.0,D,Pass
male,group D,some college,standard,completed,77,62,62,201,True,True,True,True,67.0,D,Pass
male,group C,some high school,free/reduced,completed,59,69,65,193,False,True,True,False,64.33333333333333,D,Pass
female,group B,associate's degree,standard,none,57,69,68,194,False,True,True,False,64.66666666666667,D,Pass
female,group B,some college,free/reduced,none,58,61,66,185,False,True,True,False,61.666666666666664,D,Pass
female,group D,high school,standard,completed,56,68,74,198,False,True,True,False,66.0,D,Pass
female,group C,some high school,free/reduced,none,55,65,62,182,False,True,True,False,60.666666666666664,D,Pass
female,group B,associate's degree,standard,completed,52,66,73,191,False,True,True,False,63.666666666666664,D,Pass
male,group A,some high school,free/reduced,none,68,72,64,204,True,True,True,True,68.0,D,Pass
male,group D,some college,standard,none,76,64,66,206,True,True,True,True,68.66666666666667,D,Pass
male,group D,bachelor's degree,free/reduced,none,63,66,67,196,True,True,True,True,65.33333333333333,D,Pass
female,group D,some high school,standard,completed,64,60,74,198,True,True,True,True,66.0,D,Pass
male,group D,high school,free/reduced,completed,73,68,66,207,True,True,True,True,69.0,D,Pass
female,group B,high school,standard,completed,58,70,68,196,False,True,True,False,65.33333333333333,D,Pass
female,group B,high school,standard,none,65,64,62,191,True,True,True,True,63.666666666666664,D,Pass
male,group C,high school,standard,none,68,60,53,181,True,True,False,False,60.333333333333336,D,Pass
female,group B,some high school,standard,completed,60,70,70,200,True,True,True,True,66.66666666666667,D,Pass
female,group E,some college,standard,none,62,73,70,205,True,True,True,True,68.33333333333333,D,Pass
female,group C,associate's degree,free/reduced,none,64,73,68,205,True,True,True,True,68.33333333333333,D,Pass
male,group C,bachelor's degree,standard,none,69,63,61,193,True,True,True,True,64.33333333333333,D,Pass
female,group D,some college,standard,none,65,70,71,206,True,True,True,True,68.66666666666667,D,Pass
female,group E,high school,standard,completed,59,63,75,197,False,True,True,False,65.66666666666667,D,Pass
male,group B,bachelor's degree,free/reduced,none,73,56,57,186,True,False,False,False,62.0,D,Pass
