gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,pass_math,pass_reading,pass_writing,pass_overall,average_score,Grade,Result
female,group C,associate's degree,free/reduced,none,54,58,61,173,False,False,True,False,57.666666666666664,E,Pass
male,group B,some college,standard,none,69,54,55,178,True,False,False,False,59.333333333333336,E,Pass
female,group D,some high school,free/reduced,none,50,64,59,173,False,True,False,False,57.666666666666664,E,Pass
male,group B,associate's degree,free/reduced,none,57,56,57,170,False,False,False,False,56.666666666666664,E,Pass
male,group C,associate's degree,free/reduced,none,55,61,54,170,False,True,False,False,56.666666666666664,E,Pass
female,group B,associate's degree,standard,none,53,58,65,176,False,False,True,False,58.666666666666664,E,Pass
male,group B,associate's degree,standard,none,65,54,57,176,True,False,False,False,58.666666666666664,E,Pass
male,group D,some college,standard,completed,58,59,58,175,False,False,False,False,58.333333333333336,E,Pass
male,group A,associate's degree,free/reduced,none,62,61,55,178,True,True,False,False,59.333333333333336,E,Pass
female,group D,some high school,standard,none,59,58,59,176,False,False,False,False,58.666666666666664,E,Pass
male,group B,associate's degree,free/reduced,none,61,58,56,175,True,False,False,False,58.333333333333336,E,Pass
male,group C,some high school,free/reduced,none,61,57,56,174,True,False,False,False,58.0,E,Pass
male,group C,high school,standard,none,62,55,49,166,True,False,False,False,55.333333333333336,E,Pass
female,group D,some high school,standard,none,51,63,61,175,False,True,True,False,58.333333333333336,E,Pass
male,group D,high school,free/reduced,none,63,57,56,176,True,False,False,False,58.666666666666664,E,Pass
female,group C,some college,free/reduced,none,46,64,66,176,False,True,True,False,58.666666666666664,E,Pass
male,group D,associate's degree,standard,none,61,55,52,168,True,False,False,False,56.0,E,Pass
male,group C,associate's degree,free/reduced,completed,60,51,56,167,True,False,False,False,55.666666666666664,E,Pass
male,group B,some high school,standard,completed,61,56,56,173,True,False,False,False,57.666666666666664,E,Pass
male,group E,associate's degree,standard,completed,62,56,53,171,True,False,False,False,57.0,E,Pass
male,group C,high school,free/reduced,none,58,61,52,171,False,True,False,False,57.0,E,Pass
male,group E,some college,standard,none,66,57,52,175,True,False,False,False,58.333333333333336,E,Pass
female,group B,high school,standard,none,58,62,59,179,False,True,False,False,59.666666666666664,E,Pass
female,group C,some college,standard,none,52,58,58,168,False,False,False,False,56.0,E,Pass
male,group C,some college,standard,none,59,60,58,177,False,True,False,False,59.0,E,Pass
male,group A,bachelor's degree,free/reduced,completed,49,58,60,167,False,False,True,False,55.666666666666664,E,Pass
female,group A,some high school,free/reduced,none,44,64,58,166,False,True,False,False,55.333333333333336,E,Fail
male,group C,associate's degree,standard,completed,57,54,56,167,False,False,False,False,55.666666666666664,E,Pass
male,group D,some high school,standard,none,60,59,54,173,True,False,False,False,57.666666666666664,E,Pass
female,group A,some college,free/reduced,none,49,65,55,169,False,True,False,False,56.333333333333336,E,Pass
female,group C,high school,standard,none,54,59,62,175,False,False,True,False,58.333333333333336,E,Pass
female,group D,high school,free/reduced,completed,52,57,56,165,False,False,False,False,55.0,E,Pass
male,group E,high school,free/reduced,completed,57,56,54,167,False,False,False,False,55.666666666666664,E,Pass
female,group D,high school,standard,completed,57,58,64,179,False,False,True,False,59.666666666666664,E,Pass
female,group D,master's degree,free/reduced,completed,47,58,67,172,False,False,True,False,57.333333333333336,E,Pass
male,group A,some high school,free/reduced,none,65,59,53,177,True,False,False,False,59.0,E,Pass
male,group C,high school,standard,none,61,56,55,172,True,False,False,False,57.333333333333336,E,Pass
male,group C,high school,standard,none,70,56,51,177,True,False,False,False,59.0,E,Pass
male,group C,some college,free/reduced,none,65,58,49,172,True,False,False,False,57.333333333333336,E,Pass
female,group C,associate's degree,free/reduced,none,53,61,62,176,False,True,True,False,58.666666666666664,E,Pass
male,group C,bachelor's degree,free/reduced,none,53,58,55,166,False,False,False,False,55.333333333333336,E,Pass
female,group D,associate's degree,free/reduced,none,52,59,56,167,False,False,False,False,55.666666666666664,E,Pass
male,group B,some high school,standard,completed,64,53,57,174,True,False,False,False,58.0,E,Pass
male,group C,some college,free/reduced,none,63,61,54,178,True,True,False,False,59.333333333333336,E,Pass
male,group B,bachelor's degree,free/reduced,none,55,59,54,168,False,False,False,False,56.0,E,Pass
female,group B,some high school,standard,completed,54,61,62,177,False,True,True,False,59.0,E,Pass
male,group C,some high school,free/reduced,completed,56,61,60,177,False,True,True,False,59.0,E,Pass
male,group C,associate's degree,standard,completed,51,60,58,169,False,True,False,False,56.333333333333336,E,Pass
female,group D,high school,standard,none,51,66,62,179,False,True,True,False,59.666666666666664,E,Pass
female,group C,some college,standard,none,53,62,56,171,False,True,False,False,57.0,E,Pass
female,group C,bachelor's degree,free/reduced,none,44,63,62,169,False,True,True,False,56.333333333333336,E,Fail
female,group A,some high school,standard,none,48,66,65,179,False,True,True,False,59.666666666666664,E,Pass
male,group C,some college,free/reduced,none,58,57,54,169,False,False,False,False,56.333333333333336,E,Pass
female,group D,master's degree,standard,none,54,60,63,177,False,True,True,False,59.0,E,Pass
male,group D,high school,free/reduced,none,60,57,51,168,True,False,False,False,56.0,E,Pass
female,group C,some high school,free/reduced,completed,50,60,60,170,False,True,True,False,56.666666666666664,E,Pass
male,group B,high school,standard,none,62,55,54,171,True,False,False,False,57.0,E,Pass
female,group C,some high school,standard,none,49,63,56,168,False,True,False,False,56.0,E,Pass
male,group C,some college,standard,none,66,59,52,177,True,False,False,False,59.0,E,Pass
male,group D,some high school,free/reduced,completed,55,59,59,173,False,False,False,False,57.666666666666664,E,Pass
male,group E,some high school,standard,completed,68,51,57,176,True,False,False,False,58.666666666666664,E,Pass
female,group E,some college,free/reduced,none,53,58,57,168,False,False,False,False,56.0,E,Pass
male,group C,high school,free/reduced,none,61,60,55,176,True,True,False,False,58.666666666666664,E,Pass
female,group C,bachelor's degree,free/reduced,none,50,60,59,169,False,True,False,False,56.333333333333336,E,Pass
male,group C,associate's degree,free/reduced,none,58,55,53,166,False,False,False,False,55.333333333333336,E,Pass
male,group D,some college,standard,none,55,58,52,165,False,False,False,False,55.0,E,Pass
female,group D,some college,free/reduced,completed,52,59,65,176,False,False,True,False,58.666666666666664,E,Pass
male,group A,some college,free/reduced,none,58,60,57,175,False,True,False,False,58.333333333333336,E,Pass
female,group C,associate's degree,standard,completed,52,59,62,173,False,False,True,False,57.666666666666664,E,Pass
female,group C,master's degree,free/reduced,none,52,65,61,178,False,True,True,False,59.333333333333336,E,Pass
female,group B,high school,standard,none,48,62,60,170,False,True,True,False,56.666666666666664,E,Pass
female,group A,bachelor's degree,standard,none,45,59,64,168,False,False,True,False,56.0,E,Fail
male,group B,some high school,standard,none,68,54,53,175,True,False,False,False,58.333333333333336,E,Pass
female,group A,some college,free/reduced,none,61,60,57,178,True,True,False,False,59.333333333333336,E,Pass
male,group B,associate's degree,free/reduced,completed,58,57,53,168,False,False,False,False,56.0,E,Pass
male,group C,some high school,standard,none,64,58,51,173,True,False,False,False,57.666666666666664,E,Pass
male,group D,high school,standard,none,64,54,50,168,True,False,False,False,56.0,E,Pass
female,group C,associate's degree,standard,none,53,62,53,168,False,True,False,False,56.0,E,Pass
female,group C,bachelor's degree,free/reduced,none,43,62,61,166,False,True,True,False,55.333333333333336,E,Fail
male,group C,some high school,standard,none,57,61,54,172,False,True,False,False,57.333333333333336,E,Pass
female,group C,bachelor's degree,standard,completed,52,61,66,179,False,True,True,False,59.666666666666664,E,Pass
female,group C,bachelor's degree,free/reduced,completed,47,62,66,175,False,True,True,False,58.333333333333336,E,Pass
male,group E,associate's degree,free/reduced,none,64,56,52,172,True,False,False,False,57.333333333333336,E,Pass
male,group A,associate's degree,standard,none,67,57,53,177,True,False,False,False,59.0,E,Pass
female,group E,high school,free/reduced,none,57,58,57,172,False,False,False,False,57.333333333333336,E,Pass
female,group C,associate's degree,standard,none,54,61,58,173,False,True,False,False,57.666666666666664,E,Pass
female,group D,some college,free/reduced,none,49,58,60,167,False,False,True,False,55.666666666666664,E,Pass
female,group D,high school,standard,none,45,63,59,167,False,True,False,False,55.666666666666664,E,Fail
female,group A,some college,standard,none,56,58,64,178,False,False,True,False,59.333333333333336,E,Pass
female,group D,some college,free/reduced,none,49,65,61,175,False,True,True,False,58.333333333333336,E,Pass
male,group C,high school,free/reduced,none,62,55,55,172,True,False,False,False,57.333333333333336,E,Pass
